team_id,team_name,team_display,fifa_code,iso2,confederation,group_code,flag_url,is_world_cup_2026
1,Abkhazia,,,,,,,0
2,Afghanistan,,,,,,,0
3,Albania,,,,,,,0
4,Alderney,,,,,,,0
5,Algeria,🇩🇿 Algeria,DZA,DZ,CAF,J,https://flagcdn.com/w80/dz.png,1
6,Ambazonia,,,,,,,0
7,American Samoa,,,,,,,0
8,Andalusia,,,,,,,0
9,Andorra,,,,,,,0
10,Angola,,,,,,,0
11,Anguilla,,,,,,,0
12,Antigua and Barbuda,,,,,,,0
13,Antigua and Barbuda,,,,,,,0
14,Arameans Suryoye,,,,,,,0
15,Argentina,🇦🇷 Argentina,ARG,AR,CONMEBOL,J,https://flagcdn.com/w80/ar.png,1
16,Armenia,,,,,,,0
17,Artsakh,,,,,,,0
18,Aruba,,,,,,,0
19,Asturias,,,,,,,0
20,Australia,🇦🇺 Australia,AUS,AU,AFC,D,https://flagcdn.com/w80/au.png,1
21,Austria,🇦🇹 Austria,AUT,AT,UEFA,J,https://flagcdn.com/w80/at.png,1
22,Aymara,,,,,,,0
23,Azerbaijan,,,,,,,0
24,Bahamas,,,,,,,0
25,Bahrain,,,,,,,0
26,Bangladesh,,,,,,,0
27,Barawa,,,,,,,0
28,Barbados,,,,,,,0
29,Basque Country,,,,,,,0
30,Belarus,,,,,,,0
31,Belgium,🇧🇪 Belgium,BEL,BE,UEFA,G,https://flagcdn.com/w80/be.png,1
32,Belize,,,,,,,0
33,Benin,,,,,,,0
34,Bermuda,,,,,,,0
35,Bhutan,,,,,,,0
36,Biafra,,,,,,,0
37,Bolivia,,,,,,,0
38,Bonaire,,,,,,,0
39,Bosnia and Herzegovina,🇧🇦 Bosnia and Herzegovina,BIH,BA,UEFA,B,https://flagcdn.com/w80/ba.png,1
40,Bosnia and Herzegovina,,,,,,,0
41,Botswana,,,,,,,0
42,Brazil,🇧🇷 Brazil,BRA,BR,CONMEBOL,C,https://flagcdn.com/w80/br.png,1
43,British Virgin Islands,,,,,,,0
44,British Guiana,,,,,,,0
45,British Virgin Islands,,,,,,,0
46,Brittany,,,,,,,0
47,Brunei,,,,,,,0
48,Bulgaria,,,,,,,0
49,Burkina Faso,,,,,,,0
50,Burkina Faso,,,,,,,0
51,Burma,,,,,,,0
52,Burundi,,,,,,,0
53,Cambodia,,,,,,,0
54,Cameroon,,,,,,,0
55,Canada,🇨🇦 Canada,CAN,CA,CONCACAF,B,https://flagcdn.com/w80/ca.png,1
56,Canary Islands,,,,,,,0
57,Cape Verde,🇨🇻 Cape Verde,CPV,CV,CAF,H,https://flagcdn.com/w80/cv.png,1
58,Cape Verde,,,,,,,0
59,Cascadia,,,,,,,0
60,Catalonia,,,,,,,0
61,Cayman Islands,,,,,,,0
62,Cayman Islands,,,,,,,0
63,Central African Republic,,,,,,,0
64,Central Spain,,,,,,,0
65,Central African Republic,,,,,,,0
66,Ceylon,,,,,,,0
67,Chad,,,,,,,0
68,Chagos Islands,,,,,,,0
69,Chagos Islands,,,,,,,0
70,Chameria,,,,,,,0
71,Chechnya,,,,,,,0
72,Chile,,,,,,,0
73,China,,,,,,,0
74,Christmas Island,,,,,,,0
75,Cilento,,,,,,,0
76,Cocos Islands,,,,,,,0
77,Colombia,🇨🇴 Colombia,COL,CO,CONMEBOL,K,https://flagcdn.com/w80/co.png,1
78,Comoros,,,,,,,0
79,Congo,🇨🇩 Congo,COD,cd,CAF,,https://flagcdn.com/w80/cd.png,1
80,Congo-Brazzaville,,,,,,,0
81,Cook Islands,,,,,,,0
82,Cook Islands,,,,,,,0
83,Corsica,,,,,,,0
84,Costa Rica,,,,,,,0
85,Costa Rica,,,,,,,0
86,County of Nice,,,,,,,0
87,Crimea,,,,,,,0
88,Croatia,🇭🇷 Croatia,CRO,HR,UEFA,L,https://flagcdn.com/w80/hr.png,1
89,Cuba,,,,,,,0
90,Curacao,🇨🇼 Curacao,CUW,cw,CONCACAF,,https://flagcdn.com/w80/cw.png,1
91,Curaçao,,CUW,CW,,E,https://flagcdn.com/w80/cw.png,0
92,Cyprus,,,,,,,0
93,Czech Republic,🇨🇿 Czech Republic,CZE,CZ,UEFA,A,https://flagcdn.com/w80/cz.png,1
94,Czechia,,,,,,,0
95,Czechoslovakia,,,,,,,0
96,DR Congo,,,,,,,0
97,Dahomey,,,,,,,0
98,Darfur,,,,,,,0
99,Democratic Republic of Congo,,,,,,,0
100,Denmark,,,,,,,0
101,Djibouti,,,,,,,0
102,Dominica,,,,,,,0
103,Dominican Republic,,,,,,,0
104,Dominican Republic,,,,,,,0
105,Donetsk PR,,,,,,,0
106,Délvidék,,,,,,,0
107,East Turkestan,,,,,,,0
108,Eastern Samoa,,,,,,,0
109,East Germany,,,,,,,0
110,East Timor,,,,,,,0
111,Ecuador,🇪🇨 Ecuador,ECU,EC,CONMEBOL,E,https://flagcdn.com/w80/ec.png,1
112,Egypt,🇪🇬 Egypt,EGY,EG,CAF,G,https://flagcdn.com/w80/eg.png,1
113,El Salvador,,,,,,,0
114,Elba Island,,,,,,,0
115,Ellan Vannin,,,,,,,0
116,El Salvador,,,,,,,0
117,England,🏴 England,ENG,ENG,UEFA,L,https://flagcdn.com/w80/gb-eng.png,1
118,Equatorial Guinea,,,,,,,0
119,Equatorial Guinea,,,,,,,0
120,Eritrea,,,,,,,0
121,Estonia,,,,,,,0
122,Eswatini,,,,,,,0
123,Ethiopia,,,,,,,0
124,Falkland Islands,,,,,,,0
125,Falkland Islands,,,,,,,0
126,Faroe Islands,,,,,,,0
127,Faroe Islands,,,,,,,0
128,Federated States of Micronesia,,,,,,,0
129,Felvidék,,,,,,,0
130,Fiji,,,,,,,0
131,Finland,,,,,,,0
132,France,🇫🇷 France,FRA,FR,UEFA,I,https://flagcdn.com/w80/fr.png,1
133,Franconia,,,,,,,0
134,French Guiana,,,,,,,0
135,French Guiana,,,,,,,0
136,Frøya,,,,,,,0
137,Gabon,,,,,,,0
138,Galicia,,,,,,,0
139,Gambia,,,,,,,0
140,Georgia,,,,,,,0
141,German DR,,,,,,,0
142,Germany,🇩🇪 Germany,GER,DE,UEFA,E,https://flagcdn.com/w80/de.png,1
143,Ghana,🇬🇭 Ghana,GHA,GH,CAF,L,https://flagcdn.com/w80/gh.png,1
144,Gibraltar,,,,,,,0
145,Gotland,,,,,,,0
146,Gozo,,,,,,,0
147,Greece,,,,,,,0
148,Greenland,,,,,,,0
149,Grenada,,,,,,,0
150,Guadeloupe,,,,,,,0
151,Guam,,,,,,,0
152,Guatemala,,,,,,,0
153,Guernsey,,,,,,,0
154,Guinea,,,,,,,0
155,Guinea-Bissau,,,,,,,0
156,Guyana,,,,,,,0
157,Găgăuzia,,,,,,,0
158,Haiti,🇭🇹 Haiti,HTI,HT,CONCACAF,C,https://flagcdn.com/w80/ht.png,1
159,Hitra,,,,,,,0
160,Hmong,,,,,,,0
161,Honduras,,,,,,,0
162,Hong Kong,,,,,,,0
163,Hong Kong,,,,,,,0
164,Hungary,,,,,,,0
165,Iceland,,,,,,,0
166,India,,,,,,,0
167,Indonesia,,,,,,,0
168,Iran,🇮🇷 Iran,IRN,IR,AFC,G,https://flagcdn.com/w80/ir.png,1
169,Iraq,🇮🇶 Iraq,IRQ,IQ,AFC,I,https://flagcdn.com/w80/iq.png,1
170,Iraqi Kurdistan,,,,,,,0
171,Ireland,,,,,,,0
172,Isle of Man,,,,,,,0
173,Isle of Wight,,,,,,,0
174,Israel,,,,,,,0
175,Italy,,,,,,,0
176,Ivory Coast,🇨🇮 Ivory Coast,CIV,CI,CAF,E,https://flagcdn.com/w80/ci.png,1
177,Ivory Coast,,,,,,,0
178,Jamaica,,,,,,,0
179,Japan,🇯🇵 Japan,JPN,JP,AFC,F,https://flagcdn.com/w80/jp.png,1
180,Jersey,,,,,,,0
181,Jordan,🇯🇴 Jordan,JOR,JO,AFC,J,https://flagcdn.com/w80/jo.png,1
182,Kabylia,,,,,,,0
183,Kazakhstan,,,,,,,0
184,Kenya,,,,,,,0
185,Kernow,,,,,,,0
186,Khmer Republic,,,,,,,0
187,Kiribati,,,,,,,0
188,Kosovo,,,,,,,0
189,Kurdistan,,,,,,,0
190,Kuwait,,,,,,,0
191,Kyrgyzstan,,,,,,,0
192,Kárpátalja,,,,,,,0
193,Laos,,,,,,,0
194,Latvia,,,,,,,0
195,Lebanon,,,,,,,0
196,Lesotho,,,,,,,0
197,Liberia,,,,,,,0
198,Libya,,,,,,,0
199,Liechtenstein,,,,,,,0
200,Lithuania,,,,,,,0
201,Luhansk PR,,,,,,,0
