tournament_id,tournament_name
1,ABCS Tournament
2,AFC Asian Cup
3,AFC Asian Cup qualification
4,AFC Challenge Cup
5,AFC Challenge Cup qualification
6,AFC Solidarity Cup
7,AFF Championship
8,AFF Championship qualification
9,ASEAN Championship
10,ASEAN Championship qualification
11,African Cup of Nations
12,African Cup of Nations qualification
13,African Friendship Games
14,Afro-Asian Games
15,Al Ain International Cup
16,All-African Games
17,Amílcar Cabral Cup
18,Arab Cup
19,Arab Cup qualification
20,Asian Games
21,Atlantic Cup
22,Atlantic Heritage Cup
23,Balkan Cup
24,Baltic Cup
25,Beijing International Friendship Tournament
26,Benedikt Fontana Cup
27,Bolivarian Games
28,Brazil Independence Cup
29,British Home Championship
30,CAFA Nations Cup
31,CCCF Championship
32,CECAFA Cup
33,CFU Caribbean Cup
34,CFU Caribbean Cup qualification
35,CONCACAF Championship
36,CONCACAF Championship qualification
37,CONCACAF Nations League
38,CONCACAF Nations League qualification
39,CONCACAF Series
40,CONIFA Africa Football Cup
41,CONIFA Asia Cup
42,CONIFA European Football Cup
43,CONIFA South America Football Cup
44,CONIFA World Cup qualification
45,CONIFA World Football Cup
46,CONIFA World Football Cup qualification
47,CONMEBOL–UEFA Cup of Champions
48,COSAFA Cup
49,COSAFA Cup qualification
50,Canadian Shield
51,Central American and Caribbean Games
52,Central European International Cup
53,ConIFA Challenger Cup
54,Confederations Cup
55,Copa América
56,Copa América qualification
57,Copa Artigas
58,Copa Bernardo O'Higgins
59,Copa Carlos Dittborn
60,Copa Chevallier Boutell
61,Copa Confraternidad
62,Copa Félix Bogado
63,Copa Juan Pinto Durán
64,Copa Lipton
65,Copa Newton
66,Copa Oswaldo Cruz
67,Copa Paz del Chaco
68,Copa Premio Honor Argentino
69,Copa Premio Honor Uruguayo
70,Copa Ramón Castilla
71,Copa Rio Branco
72,Copa Roca
73,Copa del Pacífico
74,Corsica Cup
75,Coupe de l'Outre-Mer
76,Cup of Ancient Civilizations
77,Cyprus International Tournament
78,Dakar Tournament
79,Diamond Jubilee International Football Tournament
80,Dragon Cup
81,Dunhill Cup
82,Dynasty Cup
83,EAFF Championship
84,EAFF Championship qualification
85,ELF Cup
86,East Asian Games
87,FIFA 75th Anniversary Cup
88,FIFA Series
89,FIFA World Cup
90,FIFA World Cup qualification
91,FIFI Wild Cup
92,Far Eastern Championship Games
93,Four Nations Tournament
94,Four Nations' Cup
95,Friendly
96,GaNEFo
97,Gold Cup
98,Gold Cup qualification
99,Great Wall Cup
100,Guangzhou International Friendship Tournament
101,Gulf Cup
102,Hungary Heritage Cup
103,Indian Ocean Island Games
104,Indonesia Tournament
105,Inter Games
106,Inter-Allied Games
107,Intercontinental Cup
108,"International Tournament of Peoples, Cultures and Tribes"
109,Island Games
110,Joe Robbie Cup
111,Jordan International Tournament
112,King Hassan II Tournament
113,King's Cup
114,Kirin Challenge Cup
115,Kirin Cup
116,Korea Cup
117,Kuneitra Cup
118,Lunar New Year Cup
119,MSG Prime Minister's Cup
120,Mahinda Rajapaksa Cup
121,Malta International Tournament
122,Mapinduzi Cup
123,Marianas Cup
124,Marlboro Cup
125,Matthews Cup
126,Mauritius Four Nations Cup
127,Melanesia Cup
128,Merdeka Tournament
129,Merlion Cup
130,Miami Cup
131,Millennium Cup
132,"Morocco, Capital of African Football"
133,Mukuru 4 Nations
134,Mundialito
135,Muratti Vase
136,NAFC Championship
137,NAFU Championship
138,Nations Cup
139,Navruz Cup
140,Nehru Cup
141,Niamh Challenge Cup
142,Nile Basin Tournament
143,Nordic Championship
144,OSN Cup
145,Oceania Nations Cup
146,Oceania Nations Cup qualification
147,Olympic Games
148,Open International Championship
149,Outrigger Challenge Cup
150,Pacific Games
151,Pacific Mini Games
152,Palestine Cup
153,Palestine International Championship
154,Pan American Championship
155,Peace Cup
156,Philippine Peace Cup
157,Phillip Seaga Cup
158,Prime Minister's Cup
159,Real Madrid 75th Anniversary Cup
160,Rous Cup
161,SAFF Cup
162,SKN Football Festival
163,Scania 100 Tournament
164,Simba Tournament
165,Soccer Ashes
166,South Asian Games
167,South Asian Super Cup
168,South Pacific Games
169,South Pacific Mini Games
170,Southeast Asian Games
171,Southeast Asian Peninsular Games
172,Superclásico de las Américas
173,TIFOCO Tournament
174,The Other Final
175,Three Nations Cup
176,Tournament Burkina Faso
177,Tournoi de France
178,Trans-Tasman Cup
179,Tri Nation Tournament
180,Tri-Nations Cup
181,Tri-Nations Series
182,Tynwald Hill Tournament
183,UDEAC Cup
184,UEFA Euro
185,UEFA Euro qualification
186,UEFA Nations League
187,UNCAF Cup
188,UNIFFAC Cup
189,USA Cup
190,United Arab Emirates Friendship Tournament
191,Unity Cup
192,VFF Cup
193,Vietnam Independence Cup
194,Viva World Cup
195,WAFF Championship
196,West African Cup
197,Windward Islands Tournament
198,World Unity Cup
199,Zambian Independence Tournament
200,Évence Coppée Trophy
