standing_id,group,rank,team_id,team,fifa_code,mp,w,d,l,pts,gf,ga,gd,team_id_normalized
1,A,1,1,Mexico,MEX,3,3,0,0,9,6,0,6,225.0
2,A,2,2,South Africa,RSA,3,1,1,1,4,2,3,-1,340.0
3,A,3,3,South Korea,KOR,3,1,0,2,3,2,3,-1,341.0
4,A,4,4,Czech Republic,CZE,3,0,1,2,1,2,6,-4,93.0
5,B,1,8,Switzerland,SUI,3,2,1,0,7,7,3,4,361.0
6,B,2,5,Canada,CAN,3,1,1,1,4,8,3,5,55.0
7,B,3,6,Bosnia and Herzegovina,BIH,3,1,1,1,4,5,6,-1,39.0
8,B,4,7,Qatar,QAT,3,0,1,2,1,2,10,-8,282.0
9,C,1,9,Brazil,BRA,3,2,1,0,7,7,1,6,42.0
10,C,2,10,Morocco,MAR,3,2,1,0,7,6,3,3,232.0
11,C,3,12,Scotland,SCO,3,1,0,2,3,1,4,-3,319.0
12,C,4,11,Haiti,HAI,3,0,0,3,0,2,8,-6,158.0
13,D,1,13,United States,USA,3,2,0,1,6,8,4,4,392.0
14,D,2,15,Australia,AUS,3,1,1,1,4,2,2,0,20.0
15,D,3,14,Paraguay,PAR,3,1,1,1,4,2,4,-2,273.0
16,D,4,16,Turkey,TUR,3,1,0,2,3,3,5,-2,381.0
17,E,1,17,Germany,GER,3,2,0,1,6,10,4,6,142.0
18,E,2,19,Ivory Coast,CIV,3,2,0,1,6,4,2,2,176.0
19,E,3,20,Ecuador,ECU,3,1,1,1,4,2,2,0,111.0
20,E,4,18,Curaçao,CUW,3,0,1,2,1,1,9,-8,91.0
21,F,1,21,Netherlands,NED,3,2,1,0,7,10,4,6,237.0
22,F,2,22,Japan,JPN,3,1,2,0,5,7,3,4,179.0
23,F,3,23,Sweden,SWE,3,1,1,1,4,7,7,0,360.0
24,F,4,24,Tunisia,TUN,3,0,0,3,0,2,12,-10,380.0
25,G,1,25,Belgium,BEL,3,1,2,0,5,6,2,4,31.0
26,G,2,26,Egypt,EGY,3,1,2,0,5,5,3,2,112.0
27,G,3,27,Iran,IRN,3,0,3,0,3,3,3,0,168.0
28,G,4,28,New Zealand,NZL,3,0,1,2,1,4,10,-6,240.0
29,H,1,29,Spain,ESP,3,2,1,0,7,5,0,5,352.0
30,H,2,30,Cape Verde,CPV,3,0,3,0,3,2,2,0,57.0
31,H,3,32,Uruguay,URU,3,0,2,1,2,3,4,-1,398.0
32,H,4,31,Saudi Arabia,KSA,3,0,2,1,2,1,5,-4,316.0
33,I,1,33,France,FRA,3,3,0,0,9,10,2,8,132.0
34,I,2,36,Norway,NOR,3,2,0,1,6,8,7,1,261.0
35,I,3,34,Senegal,SEN,3,1,0,2,3,8,6,2,322.0
36,I,4,35,Iraq,IRQ,3,0,0,3,0,1,12,-11,169.0
37,J,1,37,Argentina,ARG,3,3,0,0,9,8,1,7,15.0
38,J,2,39,Austria,AUT,3,1,1,1,4,6,6,0,21.0
39,J,3,38,Algeria,ALG,3,1,1,1,4,5,7,-2,5.0
40,J,4,40,Jordan,JOR,3,0,0,3,0,3,8,-5,181.0
41,K,1,44,Colombia,COL,3,2,1,0,7,4,1,3,77.0
42,K,2,41,Portugal,POR,3,1,2,0,5,6,1,5,278.0
43,K,3,42,Democratic Republic of the Congo,COD,3,1,1,1,4,4,3,1,
44,K,4,43,Uzbekistan,UZB,3,0,0,3,0,2,11,-9,399.0
45,L,1,45,England,ENG,3,2,1,0,7,6,2,4,117.0
46,L,2,46,Croatia,CRO,3,2,0,1,6,5,5,0,88.0
47,L,3,47,Ghana,GHA,3,1,1,1,4,2,2,0,143.0
48,L,4,48,Panama,PAN,3,0,0,3,0,0,4,-4,269.0
