projected_match_id,match_id,round_type,date,team_a,team_b,team_a_display,team_b_display,projected_winner,projected_winner_display,winner_probability,decision_rule,next_match_id,bracket_side,team_a_id,team_b_id,projected_winner_id
1,73,r32,06/28/2026 12:00,South Africa,Canada,🇿🇦 South Africa,🇨🇦 Canada,Canada,🇨🇦 Canada,0.819221,head_to_head_probability,90.0,Lado A / Semifinal 101,340,55,55
2,74,r32,06/29/2026 16:30,Germany,Paraguay,🇩🇪 Germany,🇵🇾 Paraguay,Germany,🇩🇪 Germany,0.6938394999999999,head_to_head_probability,89.0,Lado A / Semifinal 101,142,273,142
3,75,r32,06/29/2026 19:00,Netherlands,Morocco,🇳🇱 Netherlands,🇲🇦 Morocco,Netherlands,🇳🇱 Netherlands,0.7117829999999999,head_to_head_probability,90.0,Lado A / Semifinal 101,237,232,237
4,76,r32,06/29/2026 12:00,Brazil,Japan,🇧🇷 Brazil,🇯🇵 Japan,Brazil,🇧🇷 Brazil,0.6352505,head_to_head_probability,91.0,Lado B / Semifinal 102,42,179,42
5,77,r32,06/30/2026 17:00,France,Sweden,🇫🇷 France,🇸🇪 Sweden,France,🇫🇷 France,0.9512035000000001,head_to_head_probability,89.0,Lado A / Semifinal 101,132,360,132
6,78,r32,06/30/2026 12:00,Ivory Coast,Norway,🇨🇮 Ivory Coast,🇳🇴 Norway,Norway,🇳🇴 Norway,0.8812215,head_to_head_probability,91.0,Lado B / Semifinal 102,176,261,261
7,79,r32,06/30/2026 19:00,Mexico,Ecuador,🇲🇽 Mexico,🇪🇨 Ecuador,Ecuador,🇪🇨 Ecuador,0.613025,head_to_head_probability,92.0,Lado B / Semifinal 102,225,111,111
8,80,r32,07/01/2026 12:00,England,Congo,🏴 England,🇨🇩 Congo,England,🏴 England,0.9598424999999999,head_to_head_probability,92.0,Lado B / Semifinal 102,117,79,117
9,81,r32,07/01/2026 17:00,United States,Bosnia and Herzegovina,🇺🇸 United States,🇧🇦 Bosnia and Herzegovina,United States,🇺🇸 United States,0.5746305,head_to_head_probability,94.0,Lado A / Semifinal 101,392,39,392
10,82,r32,07/01/2026 13:00,Belgium,Senegal,🇧🇪 Belgium,🇸🇳 Senegal,Senegal,🇸🇳 Senegal,0.549142,head_to_head_probability,94.0,Lado A / Semifinal 101,31,322,322
