team_stat_id,team_id,model_version,matches_played,total_points,weighted_points,goals_for,goals_against,points_per_match,weighted_points_per_match,goal_difference,gd_per_match,power_score_v1
1,2,modern_v2,31,28,63,24,51,0.9032258064516129,2.032258064516129,-27,-0.8709677419354839,0.8709677419354838
2,3,modern_v2,59,79,200,62,60,1.338983050847458,3.389830508474576,2,0.03389830508474576,2.047457627118644
3,4,modern_v2,2,0,0,1,8,0.0,0.0,-7,-3.5,-1.4
4,5,modern_v2,80,180,407,180,58,2.25,5.0875,122,1.525,3.6625
5,7,modern_v2,7,0,0,4,44,0.0,0.0,-40,-5.714285714285714,-2.285714285714286
6,9,modern_v2,57,34,64,28,97,0.5964912280701754,1.12280701754386,-69,-1.210526315789474,0.1894736842105263
7,10,modern_v2,59,87,219,68,51,1.474576271186441,3.711864406779661,17,0.288135593220339,2.342372881355932
8,11,modern_v2,28,13,28,13,89,0.4642857142857143,1.0,-76,-2.714285714285714,-0.4857142857142859
9,12,modern_v2,29,23,54,24,63,0.7931034482758621,1.862068965517241,-39,-1.344827586206897,0.5793103448275861
10,15,modern_v2,71,174,466,152,31,2.450704225352113,6.563380281690141,121,1.704225352112676,4.619718309859155
11,16,modern_v2,55,45,109,53,124,0.8181818181818182,1.981818181818182,-71,-1.290909090909091,0.6727272727272727
12,18,modern_v2,29,34,70,43,64,1.172413793103448,2.413793103448276,-21,-0.7241379310344828,1.158620689655173
13,20,modern_v2,61,119,324,108,46,1.950819672131147,5.311475409836065,62,1.016393442622951,3.593442622950819
14,21,modern_v2,63,113,292,118,67,1.793650793650794,4.634920634920635,51,0.8095238095238095,3.104761904761905
15,22,modern_v2,2,0,0,1,4,0.0,0.0,-3,-1.5,-0.6000000000000001
16,23,modern_v2,56,48,92,54,103,0.8571428571428571,1.642857142857143,-49,-0.875,0.6357142857142857
17,24,modern_v2,30,13,24,27,100,0.4333333333333333,0.8,-73,-2.433333333333333,-0.4933333333333333
18,25,modern_v2,77,113,230,107,97,1.467532467532467,2.987012987012987,10,0.1298701298701299,1.844155844155844
19,26,modern_v2,54,55,92,43,81,1.018518518518519,1.703703703703704,-38,-0.7037037037037037,0.7407407407407407
20,28,modern_v2,38,28,58,48,98,0.7368421052631579,1.526315789473684,-50,-1.315789473684211,0.3894736842105262
21,29,modern_v2,2,4,4,4,1,2.0,2.0,3,1.5,1.8
22,30,modern_v2,55,60,116,55,90,1.090909090909091,2.109090909090909,-35,-0.6363636363636364,1.010909090909091
23,31,modern_v2,67,127,344,144,61,1.895522388059701,5.134328358208955,83,1.238805970149254,3.576119402985074
24,32,modern_v2,36,38,74,42,65,1.055555555555556,2.055555555555555,-23,-0.6388888888888888,0.9777777777777776
25,33,modern_v2,50,58,149,50,65,1.16,2.98,-15,-0.3,1.668
26,34,modern_v2,39,42,96,65,94,1.076923076923077,2.461538461538462,-29,-0.7435897435897436,1.17948717948718
27,35,modern_v2,19,11,20,10,46,0.5789473684210527,1.052631578947368,-36,-1.894736842105263,-0.1263157894736843
28,36,modern_v2,3,6,12,2,1,2.0,4.0,1,0.3333333333333333,2.533333333333333
29,37,modern_v2,65,57,134,61,124,0.8769230769230769,2.061538461538461,-63,-0.9692307692307692,0.849230769230769
30,38,modern_v2,23,24,47,29,43,1.043478260869565,2.043478260869565,-14,-0.6086956521739131,0.9826086956521739
31,39,modern_v2,54,61,153,58,80,1.12962962962963,2.833333333333333,-22,-0.4074074074074074,1.537037037037037
32,41,modern_v2,46,50,118,38,61,1.08695652173913,2.565217391304348,-23,-0.5,1.339130434782609
33,42,modern_v2,66,132,360,128,53,2.0,5.454545454545454,75,1.136363636363636,3.727272727272727
34,43,modern_v2,30,23,44,29,66,0.7666666666666667,1.466666666666667,-37,-1.233333333333333,0.3866666666666665
35,47,modern_v2,28,25,54,23,85,0.8928571428571429,1.928571428571429,-62,-2.214285714285714,0.2714285714285712
36,48,modern_v2,57,56,118,59,92,0.9824561403508771,2.070175438596491,-33,-0.5789473684210527,1.010526315789474
37,49,modern_v2,72,118,298,107,78,1.638888888888889,4.138888888888889,29,0.4027777777777778,2.644444444444444
38,52,modern_v2,34,33,71,39,57,0.9705882352941176,2.088235294117647,-18,-0.5294117647058824,1.041176470588235
39,53,modern_v2,42,43,76,55,88,1.023809523809524,1.80952380952381,-33,-0.7857142857142857,0.7714285714285714
40,54,modern_v2,64,107,331,87,55,1.671875,5.171875,32,0.5,3.303125
41,55,modern_v2,77,138,308,140,68,1.792207792207792,4.0,72,0.935064935064935,2.774025974025974
42,57,modern_v2,60,99,261,77,59,1.65,4.35,18,0.3,2.73
43,61,modern_v2,28,24,52,25,70,0.8571428571428571,1.857142857142857,-45,-1.607142857142857,0.4714285714285714
44,63,modern_v2,39,34,86,43,72,0.8717948717948718,2.205128205128205,-29,-0.7435897435897436,1.025641025641026
45,67,modern_v2,27,13,35,15,49,0.4814814814814815,1.296296296296296,-34,-1.259259259259259,0.274074074074074
46,70,modern_v2,2,3,9,5,4,1.5,4.5,1,0.5,2.9
47,72,modern_v2,65,77,154,71,82,1.184615384615385,2.369230769230769,-11,-0.1692307692307692,1.353846153846154
48,73,modern_v2,50,60,143,61,66,1.2,2.86,-5,-0.1,1.676
