tournament_probability_id,team_id,ranking,power_score_live,rating,round_32_probability,round_16_probability,quarterfinal_probability,semifinal_probability,final_probability,champion_probability
1,15,1,0.8971,2113,1,0.95956,0.9068,0.79932,0.56392,0.33036
2,352,4,0.8176,2171,1,0.94124,0.71884,0.6568,0.4196,0.25108
3,132,3,0.8642,2062,1,0.953,0.8434,0.5758,0.30992,0.16184
4,117,6,0.7672,2042,1,0.96048,0.82248,0.51604,0.22444,0.09512
5,237,2,0.8726,1959,1,0.71032,0.64048,0.3032,0.13716,0.05884
6,42,5,0.8126,1979,1,0.63732,0.50436,0.2706,0.108,0.04292
7,278,7,0.7644,1976,1,0.72604,0.228,0.17568,0.07364,0.028
8,179,8,0.7579,1878,1,0.36268,0.25288,0.10312,0.0296,0.00844
9,77,18,0.4632,1998,1,0.9416,0.62212,0.1258,0.04108,0.0082
10,232,9,0.7374,1830,1,0.28968,0.22664,0.06332,0.01676,0.00488
11,322,10,0.6229,1803,1,0.54668,0.50736,0.08064,0.01696,0.00256
12,261,14,0.4764,1922,1,0.87992,0.23612,0.06516,0.0116,0.00172
13,361,20,0.4413,1897,1,0.64952,0.27084,0.0382,0.00964,0.00156
14,142,16,0.465,1910,1,0.697,0.12032,0.03584,0.00672,0.00108
15,31,13,0.4893,1849,1,0.45332,0.41,0.05404,0.00988,0.001
16,88,12,0.491,1933,1,0.27396,0.04164,0.02428,0.00548,0.00084
17,111,27,0.384,1933,1,0.60952,0.12172,0.0344,0.00496,0.00056
18,55,25,0.402,1802,1,0.81732,0.12364,0.0162,0.00256,0.0004
19,20,17,0.4644,1774,1,0.70836,0.06548,0.02184,0.0038,0.00032
20,5,15,0.4667,1726,1,0.35048,0.09988,0.01072,0.0012,0.00016
21,21,21,0.4318,1818,1,0.05876,0.01152,0.00508,0.00072,8e-05
22,225,30,0.3581,1835,1,0.39048,0.05428,0.00996,0.00132,4e-05
23,57,38,0.2976,1500,1,0.04044,0.00896,0.00064,8e-05,0.0
24,39,47,0.1828,1500,1,0.42496,0.02884,0.00076,4e-05,0.0
25,112,23,0.404,1591,1,0.29164,0.01876,0.00324,0.00036,0.0
26,93,39,0.2968,1500,0,0.0,0.0,0.0,0.0,0.0
27,90,45,0.2417,1467,0,0.0,0.0,0.0,0.0,0.0
28,79,48,0.0,1206,1,0.03952,0.00152,0.00012,0.0,0.0
29,176,24,0.403,1500,1,0.12008,0.00664,0.0006,0.0,0.0
30,169,37,0.31,1582,0,0.0,0.0,0.0,0.0,0.0
31,168,11,0.4938,1754,0,0.0,0.0,0.0,0.0,0.0
32,158,33,0.3375,1542,0,0.0,0.0,0.0,0.0,0.0
33,269,32,0.3512,1742,0,0.0,0.0,0.0,0.0,0.0
34,240,42,0.2679,1500,0,0.0,0.0,0.0,0.0,0.0
35,181,35,0.3132,1687,0,0.0,0.0,0.0,0.0,0.0
36,143,44,0.2468,1509,1,0.0584,0.00716,0.00024,0.0,0.0
37,316,43,0.2618,1500,0,0.0,0.0,0.0,0.0,0.0
38,319,29,0.3627,1790,0,0.0,0.0,0.0,0.0,0.0
39,282,46,0.2202,1427,0,0.0,0.0,0.0,0.0,0.0
40,273,41,0.2866,1833,1,0.303,0.02544,0.00436,0.00036,0.0
41,341,31,0.355,1500,0,0.0,0.0,0.0,0.0,0.0
42,340,36,0.3102,1500,1,0.18268,0.00924,0.0004,4e-05,0.0
43,360,34,0.3199,1660,1,0.047,0.01084,0.00088,0.0,0.0
44,380,28,0.3752,1641,0,0.0,0.0,0.0,0.0,0.0
45,381,19,0.4445,1880,0,0.0,0.0,0.0,0.0,0.0
46,392,40,0.289,1500,1,0.57504,0.0538,0.00272,0.00016,0.0
47,398,22,0.4186,1890,0,0.0,0.0,0.0,0.0,0.0
48,399,26,0.3988,1735,0,0.0,0.0,0.0,0.0,0.0
