tournament_match_key,match_id,match_date,round_group,round_type,matchday,finished,time_elapsed,team_a_id,team_b_id,team_a,team_b,goals_a,goals_b
1,1,2026-06-11,A,group,1,True,finished,225.0,340.0,Mexico,South Africa,2,0
2,2,2026-06-11,A,group,1,True,finished,341.0,93.0,South Korea,Czech Republic,2,1
3,3,2026-06-12,B,group,1,True,finished,55.0,39.0,Canada,Bosnia and Herzegovina,1,1
4,4,2026-06-12,D,group,1,True,finished,392.0,273.0,United States,Paraguay,4,1
5,5,2026-06-13,C,group,1,True,finished,158.0,319.0,Haiti,Scotland,0,1
6,6,2026-06-13,D,group,1,True,finished,20.0,381.0,Australia,Turkey,2,0
7,7,2026-06-13,C,group,1,True,finished,42.0,232.0,Brazil,Morocco,1,1
8,8,2026-06-13,B,group,1,True,finished,282.0,361.0,Qatar,Switzerland,1,1
9,9,2026-06-14,E,group,1,True,finished,176.0,111.0,Ivory Coast,Ecuador,1,0
10,10,2026-06-14,E,group,1,True,finished,142.0,91.0,Germany,Curaçao,7,1
11,11,2026-06-14,F,group,1,True,finished,237.0,179.0,Netherlands,Japan,2,2
12,12,2026-06-14,F,group,1,True,finished,360.0,380.0,Sweden,Tunisia,5,1
13,13,2026-06-15,G,group,1,True,finished,168.0,240.0,Iran,New Zealand,2,2
14,14,2026-06-15,H,group,1,True,finished,352.0,57.0,Spain,Cape Verde,0,0
15,15,2026-06-15,G,group,1,True,finished,31.0,112.0,Belgium,Egypt,1,1
16,16,2026-06-15,H,group,1,True,finished,316.0,398.0,Saudi Arabia,Uruguay,1,1
17,17,2026-06-16,I,group,1,True,finished,132.0,322.0,France,Senegal,3,1
18,18,2026-06-16,I,group,1,True,finished,169.0,261.0,Iraq,Norway,1,4
19,19,2026-06-16,J,group,1,True,finished,15.0,5.0,Argentina,Algeria,3,0
20,20,2026-06-16,J,group,1,True,finished,21.0,181.0,Austria,Jordan,3,1
21,21,2026-06-17,K,group,1,True,Finished,278.0,,Portugal,Democratic Republic of the Congo,1,1
22,22,2026-06-17,L,group,1,True,finished,117.0,88.0,England,Croatia,4,2
23,23,2026-06-17,K,group,1,True,finished,399.0,77.0,Uzbekistan,Colombia,1,3
24,24,2026-06-17,L,group,1,True,finished,143.0,269.0,Ghana,Panama,1,0
25,25,2026-06-18,A,group,2,True,finished,225.0,341.0,Mexico,South Korea,1,0
26,26,2026-06-18,B,group,2,True,finished,361.0,39.0,Switzerland,Bosnia and Herzegovina,4,1
27,27,2026-06-18,B,group,2,True,finished,55.0,282.0,Canada,Qatar,6,0
28,28,2026-06-18,A,group,2,True,finished,93.0,340.0,Czech Republic,South Africa,1,1
29,29,2026-06-19,C,group,2,True,finished,42.0,158.0,Brazil,Haiti,3,0
30,30,2026-06-19,C,group,2,True,finished,319.0,232.0,Scotland,Morocco,0,1
31,31,2026-06-19,D,group,2,True,finished,392.0,20.0,United States,Australia,2,0
32,32,2026-06-19,D,group,2,True,finished,381.0,273.0,Turkey,Paraguay,0,1
33,33,2026-06-20,E,group,2,True,finished,142.0,176.0,Germany,Ivory Coast,2,1
34,34,2026-06-20,E,group,2,True,finished,111.0,91.0,Ecuador,Curaçao,0,0
35,35,2026-06-20,F,group,2,True,finished,237.0,360.0,Netherlands,Sweden,5,1
36,36,2026-06-20,F,group,2,True,finished,380.0,179.0,Tunisia,Japan,0,4
37,37,2026-06-21,G,group,2,True,finished,31.0,168.0,Belgium,Iran,0,0
38,38,2026-06-21,G,group,2,True,finished,240.0,112.0,New Zealand,Egypt,1,3
39,39,2026-06-21,H,group,2,True,finished,352.0,316.0,Spain,Saudi Arabia,4,0
40,40,2026-06-21,H,group,2,True,finished,398.0,57.0,Uruguay,Cape Verde,2,2
41,41,2026-06-22,I,group,2,True,finished,132.0,169.0,France,Iraq,3,0
42,42,2026-06-22,I,group,2,True,finished,261.0,322.0,Norway,Senegal,3,2
43,43,2026-06-22,J,group,2,True,finished,15.0,21.0,Argentina,Austria,2,0
44,44,2026-06-22,J,group,2,True,finished,181.0,5.0,Jordan,Algeria,1,2
45,45,2026-06-23,K,group,2,True,finished,278.0,399.0,Portugal,Uzbekistan,5,0
46,46,2026-06-23,L,group,2,True,finished,269.0,88.0,Panama,Croatia,0,1
47,47,2026-06-23,K,group,2,True,finished,77.0,,Colombia,Democratic Republic of the Congo,1,0
48,48,2026-06-23,L,group,2,True,finished,117.0,143.0,England,Ghana,0,0
49,49,2026-06-24,C,group,3,True,finished,319.0,42.0,Scotland,Brazil,0,3
50,50,2026-06-24,C,group,3,True,finished,232.0,158.0,Morocco,Haiti,4,2
51,51,2026-06-24,A,group,3,True,finished,340.0,341.0,South Africa,South Korea,1,0
52,52,2026-06-24,A,group,3,True,finished,93.0,225.0,Czech Republic,Mexico,0,3
53,53,2026-06-24,B,group,3,True,finished,39.0,282.0,Bosnia and Herzegovina,Qatar,3,1
54,54,2026-06-24,B,group,3,True,finished,361.0,55.0,Switzerland,Canada,2,1
55,55,2026-06-25,E,group,3,True,finished,91.0,176.0,Curaçao,Ivory Coast,0,2
56,56,2026-06-25,E,group,3,True,finished,111.0,142.0,Ecuador,Germany,2,1
57,57,2026-06-25,D,group,3,True,finished,273.0,20.0,Paraguay,Australia,0,0
58,58,2026-06-25,D,group,3,True,finished,381.0,392.0,Turkey,United States,3,2
59,59,2026-06-25,F,group,3,True,finished,179.0,360.0,Japan,Sweden,1,1
60,60,2026-06-25,F,group,3,True,finished,380.0,237.0,Tunisia,Netherlands,1,3
61,61,2026-06-26,I,group,3,True,finished,322.0,169.0,Senegal,Iraq,5,0
62,62,2026-06-26,I,group,3,True,finished,261.0,132.0,Norway,France,1,4
63,63,2026-06-26,G,group,3,True,finished,112.0,168.0,Egypt,Iran,1,1
64,64,2026-06-26,G,group,3,True,finished,240.0,31.0,New Zealand,Belgium,1,5
65,65,2026-06-26,H,group,3,True,finished,57.0,316.0,Cape Verde,Saudi Arabia,0,0
66,66,2026-06-26,H,group,3,True,finished,398.0,352.0,Uruguay,Spain,0,1
67,67,2026-06-27,L,group,3,True,finished,269.0,117.0,Panama,England,0,2
68,68,2026-06-27,L,group,3,True,finished,88.0,143.0,Croatia,Ghana,2,1
69,69,2026-06-27,J,group,3,True,finished,5.0,21.0,Algeria,Austria,3,3
